year,month,app_name,cust_vol_mn,cust_val_cr,b2c_vol_mn,b2c_val_cr,b2b_vol_mn,b2b_val_cr,onus_vol_mn,onus_val_cr,total_vol_mn,total_val_cr,app_name_std
2022,12,Cointab,0.05,18.98,0.0,0.0,0.0,0.0,0.0,0.0,0.05,18.98,Cointab
2022,12,Cred,31.42,19622.29,0.0,0.0,0.0,0.0,0.0,0.0,31.42,19622.29,CRED
2022,12,DBS Digibank Apps,0.41,171.59,0.0,0.0,0.0,0.0,0.0,0.0,0.41,171.59,DBS Digibank Apps
2022,12,Deutsche Bank Apps,1.28,104.47,0.0,0.0,0.0,0.01,0.0,0.0,1.28,104.49,Deutsche Bank Apps
2022,12,Dhanlaxmi Bank Apps,0.01,3.16,0.0,0.0,0.0,0.0,0.0,0.0,0.01,3.16,Dhanlaxmi Bank Apps
2022,12,Equitas Small Finance Bank Apps,0.02,11.69,0.0,0.0,0.0,0.0,0.0,0.0,0.02,11.69,Equitas Small Finance Bank Apps
2022,12,Fampay PPI,9.7,127.18,0.0,0.0,0.0,0.01,0.0,0.0,9.7,127.19,Fampay PPI
2022,12,Fave,0.08,5.01,0.0,0.0,0.0,0.0,0.0,0.0,0.08,5.01,Fave
2022,12,Federal Bank Apps,4.57,595.17,0.0,0.0,0.0,0.01,0.0,0.0,4.57,595.18,Federal Bank Apps
2022,12,Fino Payments bank Apps,0.11,7.49,0.0,0.0,0.0,0.0,0.0,0.0,0.11,7.49,Fino Payments bank Apps
2022,12,Google Pay,2712.34,440370.99,0.0,0.0,0.0,0.0,0.0,0.0,2712.34,440370.99,Google Pay
2022,12,Groww,0.21,153.02,0.0,0.0,0.0,0.0,0.0,0.0,0.21,153.02,Groww
2022,12,HDFC Bank Apps,11.81,3143.08,0.0,0.0,0.0,0.15,0.0,0.0,11.81,3143.24,HDFC Bank
2022,12,HSBC Bank Apps,0.15,78.59,0.0,0.05,0.0,0.0,0.0,0.0,0.15,78.63,HSBC Bank Apps
2022,12,ICICI Bank Apps,36.74,8815.95,5.17,418.68,6.38,6890.51,0.0,0.0,48.29,16125.15,ICICI Bank
2022,12,IDBI Bank Apps,0.07,29.5,0.0,0.0,0.0,0.0,0.0,0.0,0.07,29.5,IDBI Bank Apps
2022,12,IDFC Bank Apps,9.55,1184.6,0.0,0.0,0.16,138.38,0.0,0.0,9.7,1322.98,IDFC Bank Apps
2022,12,India Post Payments Bank Apps,5.55,682.59,0.0,0.0,0.0,0.0,0.0,0.0,5.55,682.59,India Post Payments Bank Apps
2022,12,Indian Bank Apps,0.25,73.71,0.0,0.0,0.0,0.0,0.0,0.0,0.25,73.71,Indian Bank Apps
2022,12,Indian Overseas Bank Apps,0.01,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.01,2.9,Indian Overseas Bank Apps
2022,12,IndusInd Bank Apps,1.26,1062.4,0.0,0.0,0.0,0.0,0.0,0.0,1.26,1062.4,IndusInd Bank Apps
2022,12,Janata Sahakari Bank Apps,0.01,4.58,0.0,0.0,0.0,0.0,0.0,0.0,0.01,4.58,Janata Sahakari Bank Apps
2022,12,Jio Payments Bank Apps,1.48,104.71,0.0,0.0,0.0,0.0,0.0,0.0,1.48,104.71,Jio Payments Bank Apps
2022,12,Jupiter,2.53,318.03,0.0,0.0,0.0,0.0,0.0,0.0,2.53,318.03,Jupiter
2022,12,Karnataka Bank Apps,0.48,91.09,0.0,0.0,0.0,0.0,0.0,0.0,0.48,91.09,Karnataka Bank Apps
2022,12,Karur Vysya Bank Apps,0.04,14.87,0.0,0.0,0.0,0.0,0.0,0.0,0.04,14.87,Karur Vysya Bank Apps
2022,12,Kotak Mahindra Bank Apps,11.53,2480.17,0.0,0.0,0.0,0.01,0.0,0.0,11.53,2480.18,Kotak Mahindra Bank Apps
2022,12,MakeMyTrip,0.1,52.3,0.0,0.0,0.0,0.0,0.0,0.0,0.1,52.3,MakeMyTrip
2022,12,Mobikwik,3.62,806.82,0.0,0.0,0.0,0.0,0.0,0.0,3.62,806.82,Mobikwik
2022,12,NSDL Payments Bank Apps,0.02,2.95,0.0,0.0,0.0,0.0,0.0,0.0,0.02,2.95,NSDL Payments Bank Apps
2022,12,Paytm Payments Bank App,1054.05,118069.81,6.08,16.86,0.43,580.52,109.79,20154.47,1170.34,138821.66,Paytm
2022,12,PhonePe,3674.24,639348.78,0.0,0.0,0.0,0.0,0.0,0.0,3674.24,639348.78,PhonePe
2022,12,Punjab National Bank Apps,0.22,76.7,0.0,0.0,0.0,0.0,0.0,0.0,0.22,76.7,Punjab National Bank Apps
2022,12,Punjab Sind Bank Apps,0.03,10.48,0.0,0.0,0.0,0.0,0.0,0.0,0.03,10.48,Punjab Sind Bank Apps
2022,12,RBL Bank Apps,0.92,214.4,0.0,0.01,0.18,0.89,0.0,0.0,1.1,215.3,RBL Bank Apps
2022,12,Samsung Pay,5.49,531.12,0.0,0.0,0.0,0.0,0.0,0.0,5.49,531.12,Samsung Pay
2022,12,Slash,0.01,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.79,Slash
2022,12,Slice,0.15,15.74,0.0,0.0,0.0,0.0,0.0,0.0,0.15,15.74,Slice
2022,12,South Indian Bank Apps,0.18,53.2,0.0,0.0,0.0,0.0,0.0,0.0,0.18,53.2,South Indian Bank Apps
2022,12,Standard Chartered Bank Apps,0.16,90.42,0.0,0.0,0.0,0.0,0.0,0.0,0.16,90.42,Standard Chartered Bank Apps
2022,12,State Bank of India Apps,4.22,1928.43,0.0,0.0,0.0,0.0,0.0,0.0,4.22,1928.43,State Bank of India Apps
2022,12,Tamilnad Mercantile Bank Apps,0.08,12.13,0.0,0.0,0.0,0.0,0.0,0.0,0.08,12.13,Tamilnad Mercantile Bank Apps
2022,12,TataNeu,0.15,17.64,0.0,0.0,0.0,0.0,0.0,0.0,0.15,17.64,TataNeu
2022,12,UCO Bank Apps,0.31,93.32,0.0,0.0,0.0,0.0,0.0,0.0,0.31,93.32,UCO Bank Apps
2022,12,Ultracash,0.03,1.65,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.65,Ultracash
2022,12,Union Bank Apps,0.92,310.63,0.0,0.0,0.0,0.0,0.0,0.0,0.92,310.63,Union Bank Apps
2022,12,Utkarsh Small Finance Bank Apps,0.02,7.81,0.0,0.0,0.0,0.0,0.0,0.0,0.02,7.81,Utkarsh Small Finance Bank Apps
2022,12,WhatsApp,11.05,917.49,0.0,0.0,0.0,0.0,0.0,0.0,11.05,917.49,WhatsApp Pay
2022,12,Yes Bank Apps,35.98,13324.11,0.0,0.0,0.18,91.35,0.0,0.0,36.16,13415.46,Yes Bank Apps
2022,12,Others,0.03,7.64,0.0,0.0,0.0,0.0,0.0,0.0,0.03,7.64,Others
2022,2,Airtel Payments Bank Apps,5.8,1199.46,0.0,0.0,0.0,0.0,1.77,1010.71,7.58,2210.17,Airtel Payments Bank Apps
2022,2,Allahabad Bank App,0.02,6.28,0.0,0.0,0.0,0.0,0.0,0.0,0.02,6.28,Allahabad Bank App
2022,2,Amazon Pay,63.49,6044.47,0.0,0.0,0.0,0.0,0.0,0.0,63.49,6044.47,Amazon Pay
2022,2,AU Small Finance Bank App,0.25,89.36,0.0,0.0,0.0,0.0,0.0,0.0,0.25,89.36,AU Small Finance Bank App
2022,2,Axis Bank Apps,6.9,1366.34,47.88,38.91,0.0,0.0,0.0,0.0,54.78,1405.26,Axis Bank
2022,2,Bajaj Finserv,0.33,19.32,0.0,0.0,0.0,0.0,0.0,0.0,0.33,19.32,Bajaj Finserv
2022,2,Bank of Baroda Apps,0.67,330.69,0.0,0.0,0.0,0.0,0.0,0.0,0.67,330.69,Bank of Baroda Apps
